# O*NET 22.0 Skills.txt Scale ID='IM' rows for the 99 O*NET-SOC 2010 codes needed to backfill 2019-taxonomy SOCs with no rows in O*NET 29.3 Skills.txt (crosswalk: https://www.onetcenter.org/taxonomy/2019/walk/2010_to_2019_Crosswalk.csv?fmt=csv). skill_breadth/onet_skills.py averages, per missing SOC, all of its crosswalk-mapped 2010 codes' Data Value per skill (joined to 29.3 skill names by Element ID) and inserts the result as that SOC's row before z-scoring. See reference/README.md.
O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
11-2031.00	2.A.1.a	Reading Comprehension	IM	4.00	8	0.00	4.00	4.00	N	n/a	07/2017	Analyst
11-2031.00	2.A.1.b	Active Listening	IM	4.00	8	0.00	4.00	4.00	N	n/a	07/2017	Analyst
11-2031.00	2.A.1.c	Writing	IM	4.00	8	0.00	4.00	4.00	N	n/a	07/2017	Analyst
11-2031.00	2.A.1.d	Speaking	IM	4.00	8	0.00	4.00	4.00	N	n/a	07/2017	Analyst
11-2031.00	2.A.1.e	Mathematics	IM	2.62	8	0.18	2.27	2.98	N	n/a	07/2017	Analyst
11-2031.00	2.A.1.f	Science	IM	1.62	8	0.18	1.27	1.98	N	n/a	07/2017	Analyst
11-2031.00	2.A.2.a	Critical Thinking	IM	3.62	8	0.18	3.27	3.98	N	n/a	07/2017	Analyst
11-2031.00	2.A.2.b	Active Learning	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2017	Analyst
11-2031.00	2.A.2.c	Learning Strategies	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2017	Analyst
11-2031.00	2.A.2.d	Monitoring	IM	3.25	8	0.16	2.93	3.57	N	n/a	07/2017	Analyst
11-2031.00	2.B.1.a	Social Perceptiveness	IM	4.12	8	0.13	3.88	4.37	N	n/a	07/2017	Analyst
11-2031.00	2.B.1.b	Coordination	IM	3.62	8	0.18	3.27	3.98	N	n/a	07/2017	Analyst
11-2031.00	2.B.1.c	Persuasion	IM	3.88	8	0.13	3.63	4.12	N	n/a	07/2017	Analyst
11-2031.00	2.B.1.d	Negotiation	IM	3.38	8	0.18	3.02	3.73	N	n/a	07/2017	Analyst
11-2031.00	2.B.1.e	Instructing	IM	3.00	8	0.00	3.00	3.00	N	n/a	07/2017	Analyst
11-2031.00	2.B.1.f	Service Orientation	IM	3.38	8	0.18	3.02	3.73	N	n/a	07/2017	Analyst
11-2031.00	2.B.2.i	Complex Problem Solving	IM	3.88	8	0.13	3.63	4.12	N	n/a	07/2017	Analyst
